status,tempo_empresa,moradia,tempo_emprestimo,idade,estado_civil,registros,trabalho,despesas,renda,ativos,dividas,valor_emprestimo,preco_do_bem
bom,30,própria,60,64,casada(o),não,fixo,45,120,14000,0,1125,1300
ruim,5,alugada,48,31,solteira(o),não,fixo,44,90,0,0,1300,1700
bom,24,própria,60,42,casada(o),não,fixo,75,137,4000,0,900,1167
bom,0,própria,60,61,viúva(o),não,outros,35,230,50000,0,950,1150
ruim,0,própria,60,32,casada(o),sim,fixo,45,142,7000,3000,1250,1566
ruim,2,própria,60,43,casada(o),não,meio período,75,71,3000,0,1500,1552
bom,1,pais,60,26,solteira(o),não,meio período,35,120,0,0,1150,1300
bom,1,própria,60,49,viúva(o),não,autônomo,35,233,15900,4500,2100,2104
bom,15,própria,36,47,casada(o),não,fixo,75,289,3500,0,1500,2154
ruim,2,alugada,36,27,separada(o),não,fixo,48,128,0,0,450,545
bom,25,própria,36,52,casada(o),não,autônomo,60,150,15000,0,750,1778
bom,8,própria,60,28,casada(o),não,fixo,60,145,4000,1000,1600,1718
bom,5,própria,60,31,casada(o),não,fixo,75,90,4000,0,900,1500
bom,0,alugada,60,32,casada(o),não,fixo,105,301,0,0,1200,1274
bom,5,própria,36,51,casada(o),não,autônomo,75,200,2100,1200,900,1015
bom,3,pais,12,37,casada(o),não,autônomo,60,150,500,0,500,1701
ruim,1,alugada,48,29,casada(o),sim,autônomo,85,100,0,0,1000,1345
bom,7,pais,60,26,solteira(o),não,fixo,35,100,0,0,1000,1238
bom,4,pais,30,27,solteira(o),não,fixo,45,100,5000,0,500,1048
bom,6,própria,24,63,casada(o),não,fixo,60,155,4000,0,600,1048
bom,14,própria,24,55,casada(o),não,fixo,90,715,5000,0,800,1324
bom,3,alugada,60,28,casada(o),não,fixo,70,245,0,0,1830,2201
bom,8,alugada,48,31,casada(o),não,fixo,90,150,0,0,1100,1430
ruim,4,pais,42,27,solteira(o),não,fixo,35,70,0,0,600,926
bom,22,própria,24,40,casada(o),não,fixo,75,190,3000,0,1000,1500
bom,2,própria,36,35,casada(o),não,fixo,75,152,3000,0,1000,1542
bom,15,priv,60,43,casada(o),não,fixo,75,126,3000,0,1350,1360
bom,10,própria,18,34,casada(o),não,autônomo,75,181,4000,0,600,1000
bom,4,própria,60,37,casada(o),não,fixo,60,185,3000,0,1200,1564
bom,9,própria,60,53,casada(o),não,fixo,45,170,2500,0,850,1205
bom,22,alugada,60,46,casada(o),não,fixo,93,176,7500,0,2000,2200
bom,18,pais,36,36,casada(o),não,autônomo,60,238,0,0,900,2214
bom,1,priv,60,46,casada(o),não,fixo,60,115,5500,800,1000,1137
bom,14,própria,48,43,casada(o),não,fixo,45,200,9000,0,600,1025
bom,8,própria,36,31,casada(o),sim,autônomo,75,411,9000,4000,800,1593
bom,5,própria,24,43,casada(o),não,fixo,75,93,3000,0,700,1735
bom,19,alugada,60,38,casada(o),não,fixo,86,108,0,0,1000,1132
bom,14,própria,12,37,casada(o),não,autônomo,90,500,4000,0,500,1338
bom,0,outras,36,46,casada(o),sim,outros,45,45,0,0,900,1100
bom,9,alugada,36,55,casada(o),não,fixo,70,250,30000,0,1750,2276
bom,29,própria,48,56,casada(o),não,fixo,45,100,3000,0,900,1360
bom,10,própria,36,55,casada(o),não,fixo,60,70,4000,0,1000,1436
bom,10,pais,36,52,casada(o),não,fixo,60,150,0,0,550,612
ruim,1,própria,36,29,casada(o),não,fixo,60,70,4500,0,850,1100
bom,11,própria,60,39,divorciada(o),sim,fixo,35,263,2500,0,1000,1300
bom,10,própria,60,38,casada(o),não,autônomo,75,200,9000,0,1000,2089
bom,5,própria,24,24,solteira(o),não,fixo,35,78,6000,3000,500,2262
bom,10,alugada,60,28,solteira(o),não,fixo,47,120,0,0,600,1054
bom,27,própria,60,53,casada(o),não,fixo,60,125,10000,0,1426,1426
ruim,0,alugada,60,25,solteira(o),não,meio período,40,50,0,0,1040,1048
ruim,25,alugada,60,62,casada(o),não,fixo,60,146,0,0,1000,1292
bom,3,pais,60,29,solteira(o),não,fixo,35,70,0,0,950,1177
ruim,9,pais,60,32,solteira(o),sim,fixo,35,105,0,0,1490,1490
bom,4,alugada,36,21,casada(o),não,autônomo,101,413,6000,0,750,850
bom,6,alugada,36,38,casada(o),não,autônomo,95,500,25000,21400,800,1011
bom,9,alugada,48,56,casada(o),não,autônomo,140,350,0,0,1400,1571
bom,3,própria,36,41,casada(o),não,autônomo,75,200,3000,0,1000,1000
ruim,22,outras,36,46,casada(o),não,fixo,45,138,0,0,250,270
bom,3,própria,60,54,viúva(o),não,outros,35,80,4000,0,950,1382
bom,30,própria,36,51,casada(o),não,autônomo,120,208,15000,0,1500,1713
bom,8,alugada,60,52,casada(o),não,fixo,89,137,4000,0,800,1086
bom,38,própria,48,57,casada(o),não,autônomo,45,58,12000,0,1500,3262
bom,2,alugada,60,33,casada(o),não,fixo,73,130,0,0,1100,1610
bom,4,própria,60,33,casada(o),não,fixo,75,123,6000,1000,600,1030
ruim,0,alugada,36,29,casada(o),não,meio período,78,180,0,0,650,650
ruim,2,outras,48,23,solteira(o),não,fixo,35,140,0,0,1950,2175
bom,8,própria,24,33,casada(o),não,fixo,75,315,4500,0,400,1780
ruim,1,alugada,36,24,casada(o),não,meio período,76,164,0,0,900,950
ruim,6,pais,60,28,casada(o),não,autônomo,90,325,7000,0,1200,1211
bom,5,própria,60,27,casada(o),não,fixo,45,135,5000,1400,1600,1650
ruim,13,pais,36,33,solteira(o),não,fixo,35,109,0,0,350,350
bom,11,alugada,60,32,casada(o),não,fixo,79,185,0,0,950,1117
bom,10,própria,24,39,casada(o),não,fixo,45,217,9000,3000,1500,2468
ruim,20,própria,60,51,casada(o),não,autônomo,90,300,12500,2500,1340,1740
ruim,0,própria,36,39,solteira(o),não,autônomo,35,NA,4000,0,1000,1210
bom,13,própria,48,29,casada(o),não,fixo,60,253,3000,0,670,963
ruim,2,própria,36,32,casada(o),não,fixo,75,101,1500,400,1200,1646
ruim,3,própria,36,40,casada(o),sim,autônomo,35,200,10000,0,800,800
bom,12,própria,36,47,casada(o),não,fixo,75,124,3500,0,460,470
bom,20,própria,24,66,casada(o),não,fixo,45,143,10000,0,950,1370
bom,3,priv,48,39,separada(o),não,autônomo,35,250,4000,1500,700,839
bom,27,própria,60,50,casada(o),não,fixo,75,135,5500,1000,600,1346
bom,4,alugada,60,25,casada(o),não,fixo,57,115,0,0,900,1350
ruim,1,própria,60,27,casada(o),não,meio período,75,160,4000,3000,1800,2100
bom,18,alugada,60,54,casada(o),não,fixo,66,214,0,0,1300,1307
bom,12,alugada,60,42,casada(o),não,fixo,114,390,0,0,1100,1126
bom,12,própria,48,35,separada(o),não,autônomo,45,500,200000,0,2380,4786
ruim,0,pais,60,23,solteira(o),não,meio período,35,95,0,0,1400,1478
bom,12,própria,60,52,casada(o),não,fixo,75,200,12000,0,1550,1568
bom,0,pais,24,22,solteira(o),não,meio período,35,85,0,0,650,1056
bom,10,outras,18,48,casada(o),não,fixo,90,214,0,0,1000,1608
bom,2,própria,60,25,casada(o),não,fixo,75,140,3000,0,950,1179
ruim,10,outras,60,26,casada(o),não,fixo,45,60,0,0,1400,1524
bom,8,própria,60,28,casada(o),não,fixo,75,180,4000,0,1300,1730
bom,20,própria,30,62,casada(o),não,autônomo,60,300,24000,9000,600,823
bom,0,alugada,60,33,casada(o),não,autônomo,65,200,0,0,700,800
bom,16,pais,60,41,casada(o),não,fixo,75,242,0,0,1300,1482
bom,4,própria,60,29,casada(o),não,meio período,60,155,5000,2500,900,1110
ruim,1,alugada,60,37,solteira(o),não,fixo,45,100,0,0,1150,1555
bom,0,própria,60,31,casada(o),não,fixo,60,105,3500,0,1100,1170
bom,15,própria,12,50,casada(o),não,autônomo,45,166,2000,0,500,886
ruim,13,alugada,60,42,separada(o),sim,fixo,47,120,0,0,800,1395
bom,19,própria,36,33,casada(o),não,fixo,60,115,6700,2000,1000,2084
bom,15,própria,24,54,casada(o),não,autônomo,90,350,150000,0,3800,8800
bom,40,própria,36,58,casada(o),não,autônomo,75,NA,50000,0,1000,1160
bom,9,alugada,60,40,casada(o),não,fixo,119,442,6000,1947,900,1211
ruim,12,pais,60,31,separada(o),sim,fixo,35,101,0,0,1300,1300
ruim,0,própria,36,35,casada(o),sim,fixo,105,122,5200,2000,850,850
bom,14,própria,60,64,casada(o),não,autônomo,60,250,10000,0,700,1204
bom,10,pais,24,29,solteira(o),não,autônomo,35,90,0,0,600,1528
bom,2,própria,48,33,casada(o),não,fixo,45,160,6000,0,1200,1298
bom,15,própria,18,35,casada(o),não,autônomo,60,300,4000,0,300,600
ruim,1,pais,48,28,solteira(o),não,fixo,35,83,0,0,1000,1320
bom,27,própria,60,59,casada(o),não,autônomo,45,NA,11000,0,1100,1300
ruim,0,outras,60,25,casada(o),não,meio período,60,60,0,0,1300,1380
ruim,0,pais,60,23,solteira(o),não,meio período,35,205,0,0,1400,1426
bom,3,própria,24,30,casada(o),não,autônomo,75,133,12000,900,1500,5200
bom,8,alugada,36,36,casada(o),não,fixo,78,179,0,0,900,1503
bom,3,própria,48,25,solteira(o),não,autônomo,35,NA,4000,0,1200,1449
bom,5,outras,60,22,solteira(o),não,fixo,45,195,0,0,700,1422
bom,9,própria,24,45,casada(o),não,fixo,75,112,4000,0,500,1430
bom,4,própria,30,47,casada(o),não,autônomo,90,210,15000,0,1550,1578
bom,14,priv,48,36,casada(o),não,fixo,75,155,3500,200,1100,1250
bom,3,própria,36,36,solteira(o),sim,autônomo,35,394,16000,0,1500,2260
bom,22,alugada,36,60,casada(o),não,fixo,60,149,0,0,200,280
bom,20,alugada,48,59,casada(o),não,fixo,57,120,0,0,800,1298
ruim,6,própria,48,58,casada(o),sim,autônomo,60,400,86000,0,930,945
bom,23,própria,12,37,casada(o),não,fixo,45,165,5000,0,900,1694
ruim,5,própria,36,32,casada(o),não,autônomo,75,125,6000,0,600,700
bom,8,alugada,48,26,solteira(o),não,fixo,42,74,0,0,600,1290
bom,5,própria,60,40,casada(o),não,fixo,75,86,4900,0,1300,1581
bom,20,própria,48,55,casada(o),não,fixo,45,185,5000,0,1000,1383
bom,11,alugada,60,30,casada(o),não,fixo,77,165,0,0,1350,1637
bom,25,pais,54,43,casada(o),não,fixo,75,110,7000,0,1275,1275
ruim,2,alugada,60,28,casada(o),não,fixo,74,138,0,0,1400,1400
bom,20,própria,24,47,casada(o),não,autônomo,75,300,5000,0,600,832
bom,9,própria,36,29,solteira(o),não,fixo,35,147,3500,0,1886,2886
ruim,0,alugada,60,48,separada(o),sim,autônomo,35,NA,25300,15500,1200,1257
bom,18,pais,60,34,casada(o),não,fixo,60,112,6550,0,600,1346
bom,20,própria,60,53,casada(o),sim,autônomo,75,350,6500,0,800,1138
bom,6,própria,12,44,casada(o),não,fixo,45,110,15000,0,300,1801
ruim,0,própria,48,49,casada(o),não,meio período,45,75,2000,0,900,1200
bom,0,alugada,36,51,casada(o),não,fixo,113,230,0,0,950,950
bom,14,NA,60,34,casada(o),não,fixo,75,85,8000,0,1400,1589
bom,10,própria,48,42,casada(o),não,autônomo,75,210,4000,120,1200,1617
bom,19,própria,60,34,casada(o),não,fixo,75,125,5000,0,1200,1200
bom,11,própria,60,46,casada(o),não,fixo,75,149,3500,0,1400,2194
bom,1,própria,48,31,casada(o),não,fixo,75,201,2500,96,1100,1642
ruim,13,outras,60,31,casada(o),não,fixo,60,105,0,0,1200,1423
bom,4,alugada,12,33,casada(o),não,fixo,78,183,0,0,600,1600
ruim,9,alugada,24,30,solteira(o),sim,fixo,46,113,0,0,700,700
bom,1,própria,24,27,casada(o),não,fixo,45,126,3000,3700,200,300
bom,4,própria,36,48,casada(o),não,autônomo,120,300,5000,0,1000,1165
bom,2,própria,60,33,casada(o),não,fixo,75,160,6000,0,1000,1365
bom,2,própria,12,44,casada(o),não,fixo,90,160,7500,0,500,1706
ruim,0,outras,36,48,casada(o),sim,autônomo,45,NA,0,0,1600,2053
bom,21,própria,60,57,casada(o),não,autônomo,60,95,8000,0,1000,1700
bom,12,própria,60,34,casada(o),sim,fixo,75,125,5500,4000,950,1462
bom,9,alugada,60,38,casada(o),não,fixo,87,120,0,0,1177,1300
bom,2,alugada,36,35,casada(o),não,fixo,126,359,0,0,870,1122
bom,24,própria,60,52,casada(o),não,fixo,45,80,4000,0,1200,1257
bom,1,pais,60,28,solteira(o),não,meio período,35,67,0,0,1050,1387
bom,15,própria,48,46,casada(o),não,fixo,90,148,12000,0,1000,1266
bom,19,própria,60,56,casada(o),sim,fixo,45,298,8000,0,1700,2195
bom,10,própria,24,52,casada(o),não,fixo,75,318,4500,700,700,2004
bom,19,própria,60,35,casada(o),não,fixo,75,185,4000,0,1100,1203
bom,10,própria,36,45,casada(o),sim,autônomo,60,NA,9500,250,750,1138
bom,4,pais,48,29,casada(o),não,fixo,45,194,0,0,1200,1374
ruim,1,pais,60,22,solteira(o),não,fixo,35,80,3000,0,1500,1514
bom,2,própria,24,33,casada(o),sim,fixo,75,147,2000,900,400,750
bom,5,própria,24,41,casada(o),não,autônomo,105,156,10000,0,800,1894
bom,11,própria,36,37,casada(o),não,fixo,75,178,3000,0,1000,1048
bom,23,própria,24,46,casada(o),não,fixo,75,130,4000,0,400,1369
ruim,4,outras,36,19,solteira(o),não,meio período,35,63,0,0,1000,1035
ruim,5,pais,36,22,solteira(o),não,fixo,35,88,0,0,750,1218
bom,15,pais,60,31,casada(o),não,fixo,45,140,0,0,1200,1637
ruim,1,priv,60,44,casada(o),não,meio período,45,115,2000,0,750,953
bom,9,própria,60,48,casada(o),sim,fixo,60,83,2500,0,1100,1212
bom,4,priv,36,31,casada(o),não,fixo,60,144,3000,0,1000,1218
bom,20,própria,24,53,casada(o),não,autônomo,45,200,100000,0,1000,1419
bom,10,outras,60,36,casada(o),não,fixo,90,172,3000,0,1100,1100
bom,2,priv,60,46,casada(o),não,autônomo,105,200,4000,500,900,987
bom,15,própria,60,37,casada(o),não,fixo,60,318,7000,0,1900,2400
bom,8,própria,60,34,casada(o),não,fixo,60,177,6300,4000,1370,1375
bom,4,própria,48,36,casada(o),não,fixo,60,133,4000,0,1000,1595
bom,4,própria,60,64,solteira(o),não,outros,35,150,9000,0,984,1054
bom,1,própria,36,27,solteira(o),não,fixo,35,208,9000,0,1000,1651
bom,10,própria,30,26,casada(o),não,fixo,75,145,1434,0,300,1542
bom,32,própria,60,53,casada(o),não,fixo,60,157,5000,0,2000,2014
bom,12,própria,60,50,casada(o),não,fixo,45,190,9500,200,1800,2624
ruim,0,pais,60,21,solteira(o),não,meio período,35,86,0,0,1000,1135
bom,20,pais,24,40,solteira(o),não,fixo,35,90,0,0,600,1105
bom,6,alugada,60,49,casada(o),sim,meio período,100,100,30000,0,1500,1500
ruim,4,alugada,24,40,casada(o),sim,fixo,56,214,0,0,800,1200
bom,1,alugada,60,37,solteira(o),não,fixo,45,100,0,0,1150,1555
bom,2,alugada,48,25,casada(o),não,fixo,57,117,0,0,800,2251
bom,25,própria,18,40,casada(o),não,fixo,45,110,4000,0,455,1542
bom,1,alugada,36,22,casada(o),não,fixo,62,168,0,0,1200,2186
bom,10,própria,48,49,casada(o),não,autônomo,45,150,9000,0,1700,1700
bom,2,própria,60,34,casada(o),não,fixo,45,166,7000,0,600,1180
bom,3,NA,24,42,solteira(o),não,fixo,35,337,NA,NA,1300,1624
ruim,13,alugada,24,49,casada(o),não,autônomo,90,NA,0,0,700,800
ruim,10,alugada,60,43,casada(o),não,autônomo,90,NA,0,0,1350,1668
bom,20,própria,36,42,casada(o),não,autônomo,90,250,4500,0,1500,1750
bom,10,própria,48,28,casada(o),sim,meio período,60,120,2500,1500,600,875
bom,1,própria,60,30,casada(o),não,autônomo,35,236,3500,1000,1000,1514
ruim,1,própria,60,25,separada(o),sim,meio período,45,277,6000,3500,1700,1950
ruim,0,pais,60,22,solteira(o),não,meio período,35,55,0,0,950,1462
bom,5,pais,36,27,solteira(o),não,fixo,35,200,4000,0,600,1098
bom,3,pais,60,26,solteira(o),não,fixo,45,235,0,0,800,840
ruim,0,própria,48,28,casada(o),não,fixo,45,80,1500,0,1260,1634
bom,6,própria,48,35,casada(o),não,autônomo,45,200,7000,0,1540,1603
bom,21,priv,60,51,casada(o),não,fixo,45,140,3000,0,1200,1200
bom,5,alugada,60,24,casada(o),não,fixo,73,125,0,0,700,1360
bom,12,alugada,60,34,casada(o),não,fixo,94,185,0,0,1200,1236
bom,13,própria,42,34,casada(o),não,fixo,105,190,2500,300,1100,1395
bom,10,própria,60,49,casada(o),não,autônomo,60,150,23000,0,1200,1390
bom,6,própria,60,28,casada(o),não,fixo,60,102,5000,0,700,1355
bom,18,alugada,60,57,casada(o),não,fixo,77,170,4000,0,1300,1604
bom,15,própria,60,63,casada(o),não,fixo,60,315,3500,266,1000,1241
ruim,0,alugada,12,37,casada(o),não,outros,88,130,0,0,250,375
bom,2,própria,36,27,casada(o),não,fixo,45,156,6000,0,700,1045
bom,18,alugada,60,39,casada(o),não,fixo,93,177,0,0,800,1781
bom,12,própria,36,64,solteira(o),sim,autônomo,60,341,4500,0,900,900
bom,25,própria,48,49,casada(o),não,autônomo,105,240,12000,4200,1660,1698
bom,8,própria,12,49,casada(o),não,autônomo,60,142,6000,0,200,1048
bom,20,própria,36,45,casada(o),não,autônomo,75,333,5000,0,1000,2200
bom,3,pais,60,27,solteira(o),não,fixo,35,125,5000,0,770,1119
bom,2,pais,36,30,casada(o),não,fixo,45,170,0,0,700,1090
ruim,2,própria,36,33,casada(o),não,autônomo,75,220,16000,500,3000,4100
bom,15,própria,36,40,casada(o),não,fixo,60,230,8500,480,700,1400
bom,3,própria,60,30,separada(o),não,fixo,60,157,15000,0,1000,2010
bom,4,pais,12,30,casada(o),não,fixo,60,340,16000,0,1900,2014
bom,3,própria,60,25,casada(o),não,meio período,60,120,3500,200,1000,1342
bom,9,alugada,60,40,solteira(o),não,fixo,44,91,0,0,1000,1132
ruim,4,priv,42,50,casada(o),não,autônomo,60,150,7000,0,900,1048
bom,2,própria,36,23,solteira(o),não,fixo,35,88,5500,0,750,1218
bom,1,outras,48,28,solteira(o),não,meio período,35,120,0,0,900,1114
ruim,2,alugada,60,35,casada(o),sim,autônomo,75,NA,0,0,1000,1206
bom,2,alugada,60,27,casada(o),não,fixo,56,106,0,0,650,2132
bom,2,pais,36,19,casada(o),não,fixo,35,162,4000,100,400,570
bom,3,pais,60,39,casada(o),não,fixo,45,77,0,0,1000,1094
bom,8,priv,36,39,casada(o),não,fixo,75,128,2500,0,550,550
bom,10,própria,48,55,viúva(o),não,fixo,35,189,9000,0,1200,1255
bom,10,própria,36,32,casada(o),não,autônomo,60,300,40000,3000,2000,4138
bom,5,própria,60,54,casada(o),não,autônomo,60,92,6000,1700,1700,1714
bom,20,própria,48,58,casada(o),não,autônomo,60,380,35000,0,1100,1150
bom,5,própria,24,37,casada(o),não,autônomo,75,500,14000,0,1500,2673
bom,20,pais,60,36,casada(o),não,autônomo,60,130,0,0,1200,1630
bom,12,própria,60,28,casada(o),não,fixo,45,141,6000,400,1100,1544
bom,13,própria,60,38,casada(o),não,fixo,75,220,6500,3600,1000,1195
bom,11,própria,36,26,casada(o),não,fixo,60,146,5000,1300,400,1206
bom,17,própria,60,41,casada(o),não,autônomo,75,250,13500,3700,1400,2050
bom,6,própria,36,42,casada(o),não,fixo,60,132,6000,0,1200,1513
bom,22,própria,6,46,casada(o),não,autônomo,90,150,75000,0,3000,3300
bom,25,alugada,60,52,casada(o),não,fixo,73,127,0,0,1030,1250
ruim,8,própria,60,30,casada(o),não,meio período,60,90,3000,500,1000,1339
ruim,19,própria,60,47,casada(o),sim,autônomo,90,166,12500,1000,875,875
bom,3,própria,18,66,casada(o),não,outros,45,69,12000,0,500,1101
bom,35,própria,60,54,casada(o),não,fixo,45,182,4000,0,1000,1568
bom,0,própria,42,65,casada(o),não,outros,45,77,4000,2000,750,1194
ruim,7,outras,60,25,casada(o),não,fixo,45,50,0,0,950,1378
bom,3,própria,60,31,solteira(o),não,fixo,35,131,4000,0,1050,1139
bom,1,pais,24,23,solteira(o),não,fixo,35,62,0,0,350,350
ruim,5,própria,60,35,casada(o),não,fixo,75,60,3000,400,1150,1406
bom,2,própria,60,47,casada(o),não,fixo,90,86,4500,0,1200,1497
ruim,13,alugada,36,28,casada(o),não,fixo,59,143,0,0,1400,1600
ruim,27,alugada,60,50,casada(o),sim,fixo,87,120,0,0,1300,1350
ruim,3,outras,60,25,solteira(o),não,fixo,35,283,0,0,2000,2032
bom,0,própria,36,39,casada(o),não,fixo,60,138,3000,0,1400,2610
bom,1,priv,12,46,casada(o),não,outros,90,90,2000,600,500,1193
ruim,1,alugada,60,36,casada(o),sim,fixo,85,99,0,0,1200,1275
ruim,10,própria,36,39,casada(o),sim,autônomo,75,160,15000,0,3250,3750
bom,1,própria,60,25,casada(o),não,meio período,60,330,9000,3500,1300,2500
bom,6,própria,36,49,casada(o),não,autônomo,60,100,22000,0,1000,1790
ruim,3,alugada,48,52,casada(o),não,fixo,96,210,0,0,1400,1419
bom,10,alugada,30,34,separada(o),não,fixo,45,100,0,0,700,1480
bom,0,própria,36,24,solteira(o),não,meio período,45,97,8000,0,600,1542
ruim,1,alugada,60,38,casada(o),não,autônomo,45,NA,0,0,1500,1850
bom,6,própria,48,24,casada(o),não,fixo,45,227,3000,0,600,1380
bom,5,própria,42,33,casada(o),sim,fixo,45,140,22000,2500,1200,1888
ruim,1,alugada,48,31,casada(o),não,fixo,87,115,0,0,1100,1672
bom,37,própria,48,63,casada(o),não,fixo,60,150,3500,0,700,808
ruim,1,pais,60,23,solteira(o),não,fixo,35,90,0,0,1100,1107
bom,40,própria,42,61,casada(o),não,fixo,90,275,12000,0,1000,1335
bom,5,pais,60,28,solteira(o),não,fixo,35,176,0,0,1190,1390
bom,11,alugada,60,58,casada(o),não,fixo,71,110,3000,0,1150,1363
bom,23,própria,60,41,casada(o),não,fixo,75,140,3000,0,1450,1482
bom,23,própria,60,38,casada(o),não,fixo,45,500,3500,0,1900,2357
ruim,5,própria,60,27,casada(o),não,fixo,75,66,3000,0,600,850
bom,10,própria,60,55,casada(o),não,autônomo,60,NA,10000,0,1000,1180
bom,5,própria,48,40,casada(o),não,autônomo,75,145,6000,0,825,1617
bom,31,própria,60,59,casada(o),não,fixo,60,67,6500,0,1080,1114
ruim,4,própria,60,47,casada(o),não,autônomo,75,NA,13500,0,1900,1976
ruim,10,própria,60,38,casada(o),sim,fixo,90,80,3000,1749,1030,1095
bom,0,pais,60,25,solteira(o),não,autônomo,35,NA,0,0,800,1380
bom,8,outras,60,28,casada(o),não,fixo,45,200,0,0,700,1529
bom,2,própria,36,49,casada(o),sim,autônomo,75,154,14000,0,850,1263
bom,3,priv,48,38,casada(o),não,autônomo,90,187,2500,750,1550,1600
ruim,35,própria,48,52,casada(o),não,fixo,60,135,5000,0,1200,1400
bom,3,própria,48,37,viúva(o),não,fixo,45,160,6000,3000,1000,1520
bom,25,própria,60,42,casada(o),não,fixo,60,133,9500,0,1500,1617
bom,8,alugada,60,54,casada(o),não,autônomo,173,230,5000,0,1100,1500
bom,2,própria,60,30,casada(o),não,fixo,60,154,3000,0,1000,1705
bom,2,própria,30,26,casada(o),não,fixo,60,50,3500,250,600,1292
bom,17,própria,48,49,casada(o),não,autônomo,60,189,7000,0,1100,1294
bom,3,própria,60,36,casada(o),não,fixo,60,202,4600,1260,1400,1936
ruim,4,pais,48,40,casada(o),não,autônomo,90,20,0,0,1850,2143
ruim,0,própria,12,61,casada(o),não,outros,60,40,4000,0,170,1394
ruim,2,alugada,24,59,casada(o),não,fixo,110,50,0,0,200,425
bom,2,própria,48,49,casada(o),não,fixo,45,125,4000,0,500,1600
bom,30,alugada,60,52,casada(o),não,autônomo,70,100,14500,0,1250,1563
bom,11,própria,60,35,casada(o),não,fixo,60,115,4000,75,1250,1284
ruim,5,NA,60,25,casada(o),não,fixo,75,160,1000,0,890,990
bom,14,própria,60,30,casada(o),não,fixo,60,70,4000,2800,600,1125
bom,8,própria,48,28,casada(o),não,fixo,35,220,4000,0,1000,1267
ruim,1,outras,60,42,casada(o),sim,autônomo,45,NA,0,0,1600,1780
bom,1,própria,6,29,solteira(o),não,autônomo,35,107,2000,0,300,1298
ruim,6,própria,60,32,casada(o),não,fixo,75,160,2200,600,1550,1600
bom,9,própria,60,45,casada(o),não,fixo,75,150,3000,0,1100,1340
bom,0,própria,60,52,casada(o),não,meio período,45,NA,10000,0,750,1244
ruim,3,própria,60,26,casada(o),não,meio período,45,120,6100,1500,1000,1403
